Name,Phone,Address
Alice,5552001,Reykjavik
Bob,5552002,Akureyri
Carol,5552003,Hafnarfjordur
David,5552004,Kopavogur
Emma,5552005,Reykjanesbaer
Frank,5552006,Selfoss
Grace,5552007,Egilsstadir
Helen,5552008,Isafjordur
Ian,5552009,Akranes
Julia,5552010,Mosfellsbaer
Karl,5552011,Gardabaer
Laura,5552012,Saudarkrokur
Matt,5552013,Hveragerdi
Nina,5552014,Borgarnes
Oscar,5552015,Husavik
Paula,5552016,Blonduos
Quinn,5552017,Vik
Rafael,5552018,Egilsstadir
Sara,5552019,Selfoss
Tom,5552020,Akranes
Una,5552021,Reykjavik
Victor,5552022,Kopavogur
Wendy,5552023,Akureyri
Xander,5552024,Isafjordur
Yara,5552025,Hafnarfjordur
Zack,5552026,Mosfellsbaer
Aron,5552027,Gardabaer
Bella,5552028,Reykjanesbaer
Chris,5552029,Hveragerdi
Dora,5552030,Borgarnes
Elli,5552031,Husavik
Finn,5552032,Selfoss
